#Rules created by Clement Jonquet and Mehdi Mirzapour

@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer

@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
historique et|both|pseudo|historical|30
histoire pour|both|pseudo|historical|30
passe pour|both|pseudo|historical|30
souvenir pour|both|pseudo|historical|30
historique pour|both|pseudo|historical|30
histoire et examen|both|pseudo|historical|30
histoire et analyse|both|pseudo|historical|30
histoire et consultation|both|pseudo|historical|30
histoire et observation|both|pseudo|historical|30
histoire et auscultation|both|pseudo|historical|30
histoire et examen medical|both|pseudo|historical|30
histoire et autopsie|both|pseudo|historical|30
histoire et depistage|both|pseudo|historical|30
passe et examen|both|pseudo|historical|30
passe et analyse|both|pseudo|historical|30
passe et consultation|both|pseudo|historical|30
passe et observation|both|pseudo|historical|30
passe et auscultation|both|pseudo|historical|30
passe et examen medical|both|pseudo|historical|30
passe et autopsie|both|pseudo|historical|30
passe et depistage|both|pseudo|historical|30
historique et examen|both|pseudo|historical|30
historique et analyse|both|pseudo|historical|30
historique et consultation|both|pseudo|historical|30
historique et observation|both|pseudo|historical|30
historique et auscultation|both|pseudo|historical|30
historique et examen medical|both|pseudo|historical|30
historique et autopsie|both|pseudo|historical|30
historique et depistage|both|pseudo|historical|30
histoire de la maladie|both|pseudo|historical|30
histoire du malaise|both|pseudo|historical|30
histoire du mal|both|pseudo|historical|30
histoire du trouble|both|pseudo|historical|30
histoire de l'indisposition|both|pseudo|historical|30
histoire de la souffrance|both|pseudo|historical|30
histoire du syndrome|both|pseudo|historical|30
histoire de l'infirmite|both|pseudo|historical|30
histoire de l'incommodite|both|pseudo|historical|30
histoire de l'atteinte|both|pseudo|historical|30
histoire de la tare|both|pseudo|historical|30
histoire de la pathologie|both|pseudo|historical|30
histoire du traumatisme|both|pseudo|historical|30
passe de la maladie|both|pseudo|historical|30
passe du malaise|both|pseudo|historical|30
passe du mal|both|pseudo|historical|30
passe du trouble|both|pseudo|historical|30
passe de l'indisposition|both|pseudo|historical|30
passe de la souffrance|both|pseudo|historical|30
passe du syndrome|both|pseudo|historical|30
passe de l'infirmite|both|pseudo|historical|30
passe de l'incommodite|both|pseudo|historical|30
passe de l'atteinte|both|pseudo|historical|30
passe de la tare|both|pseudo|historical|30
passe de la pathologie|both|pseudo|historical|30
passe du traumatisme|both|pseudo|historical|30
historique de la maladie|both|pseudo|historical|30
historique du malaise|both|pseudo|historical|30
historique du mal|both|pseudo|historical|30
historique du trouble|both|pseudo|historical|30
historique de l'indisposition|both|pseudo|historical|30
historique de la souffrance|both|pseudo|historical|30
historique du syndrome|both|pseudo|historical|30
historique de l'infirmite|both|pseudo|historical|30
historique de l'incommodite|both|pseudo|historical|30
historique de l'atteinte|both|pseudo|historical|30
historique de la tare|both|pseudo|historical|30
historique de la pathologie|both|pseudo|historical|30
historique du traumatisme|both|pseudo|historical|30
hist. de|forward|trigger|historical|30
hist. d'un|forward|trigger|historical|30
hist. d'une|forward|trigger|historical|30
hist. dans|forward|trigger|historical|30
hist. pour|forward|trigger|historical|30
hist. par|forward|trigger|historical|30
histoire de|forward|trigger|historical|30
histoire d'un|forward|trigger|historical|30
histoire d'une|forward|trigger|historical|30
histoire dans|forward|trigger|historical|30
histoire pour|forward|trigger|historical|30
histoire par|forward|trigger|historical|30
passe de|forward|trigger|historical|30
passe d'un|forward|trigger|historical|30
passe d'une|forward|trigger|historical|30
passe dans|forward|trigger|historical|30
passe pour|forward|trigger|historical|30
passe par|forward|trigger|historical|30
souvenir de|forward|trigger|historical|30
souvenir d'un|forward|trigger|historical|30
souvenir d'une|forward|trigger|historical|30
souvenir dans|forward|trigger|historical|30
souvenir pour|forward|trigger|historical|30
souvenir par|forward|trigger|historical|30
historique de|forward|trigger|historical|30
historique d'un|forward|trigger|historical|30
historique d'une|forward|trigger|historical|30
historique dans|forward|trigger|historical|30
historique pour|forward|trigger|historical|30
historique par|forward|trigger|historical|30
toutefois|forward|termination|negated|10
cependant|forward|termination|negated|10
neanmoins|forward|termination|negated|10
pourtant|forward|termination|negated|10
si negatif|both|pseudo|conditional|30
si negative|both|pseudo|conditional|30
si nul|both|pseudo|conditional|30
si nulle|both|pseudo|conditional|30
si|forward|trigger|conditional|30
en elle|both|pseudo|uncertain|30
en lui|both|pseudo|uncertain|30
dans son|both|pseudo|uncertain|30
dans sa|both|pseudo|uncertain|30
dans ses|both|pseudo|uncertain|30
autrefois|both|trigger|historical|30
anciennement|both|trigger|historical|30
jadis|both|trigger|historical|30
dans le contexte de|forward|termination|negated|10
dans la situation de|forward|termination|negated|10
dans les circonstances de|forward|termination|negated|10
dans le cadre de|forward|termination|negated|10
dans la condition de|forward|termination|negated|10
dans les conditions de|forward|termination|negated|10
incompatible avec|forward|trigger|negated|10
indication|forward|trigger|uncertain|30
avertissement|forward|trigger|uncertain|30
suggestion|forward|trigger|uncertain|30
mention|forward|trigger|uncertain|30
est neg|backward|trigger|negated|10
est neg|backward|trigger|negated|10
est neg.|backward|trigger|negated|10
est negatif|backward|trigger|negated|10
est negative|backward|trigger|negated|10
est nul|backward|trigger|negated|10
est nulle|backward|trigger|negated|10
etait neg|backward|trigger|negated|10
etait neg|backward|trigger|negated|10
etait neg.|backward|trigger|negated|10
etait negatif|backward|trigger|negated|10
etait negative|backward|trigger|negated|10
etait nul|backward|trigger|negated|10
etait nulle|backward|trigger|negated|10
sont neg|backward|trigger|negated|10
sont neg|backward|trigger|negated|10
sont neg.|backward|trigger|negated|10
sont negatifs|backward|trigger|negated|10
sont negatives|backward|trigger|negated|10
sont nuls|backward|trigger|negated|10
sont nulles|backward|trigger|negated|10
etaient neg|backward|trigger|negated|10
etaient neg|backward|trigger|negated|10
etaient neg.|backward|trigger|negated|10
etaient negatifs|backward|trigger|negated|10
etaient negatives|backward|trigger|negated|10
etaient nuls|backward|trigger|negated|10
etaient nulles|backward|trigger|negated|10
n'est plus|backward|trigger|negated|10
ne sont plus|backward|trigger|negated|10
n'etait plus|backward|trigger|negated|10
n'etaient plus|backward|trigger|negated|10
n'est pas|forward|trigger|negated|10
ne sont pas|forward|trigger|negated|10
n'etait pas|forward|trigger|negated|10
n'etaient pas|forward|trigger|negated|10
est exclu|backward|trigger|negated|10
est exclue|backward|trigger|negated|10
est refuse|backward|trigger|negated|10
est refusee|backward|trigger|negated|10
est repousse|backward|trigger|negated|10
est repoussee|backward|trigger|negated|10
est rejete|backward|trigger|negated|10
est rejetee|backward|trigger|negated|10
est elimine|backward|trigger|negated|10
est eliminee|backward|trigger|negated|10
est proscrit|backward|trigger|negated|10
est proscrite|backward|trigger|negated|10
est ecarte|backward|trigger|negated|10
est ecartee|backward|trigger|negated|10
est evince|backward|trigger|negated|10
est evincee|backward|trigger|negated|10
est supprime|backward|trigger|negated|10
est supprimee|backward|trigger|negated|10
est eloigne|backward|trigger|negated|10
est eloignee|backward|trigger|negated|10
est enleve|backward|trigger|negated|10
est enlevee|backward|trigger|negated|10
est arrete|backward|trigger|negated|10
est arretee|backward|trigger|negated|10
est stoppe|backward|trigger|negated|10
est stoppee|backward|trigger|negated|10
est enraye|backward|trigger|negated|10
est enrayee|backward|trigger|negated|10
est contenu|backward|trigger|negated|10
est contenue|backward|trigger|negated|10
est suspendu|backward|trigger|negated|10
est suspendue|backward|trigger|negated|10
est jugule|backward|trigger|negated|10
est jugulee|backward|trigger|negated|10
est termine|backward|trigger|negated|10
est terminee|backward|trigger|negated|10
est fini|backward|trigger|negated|10
est finie|backward|trigger|negated|10
est endigue|backward|trigger|negated|10
est endiguee|backward|trigger|negated|10
est interrompu|backward|trigger|negated|10
est interrompue|backward|trigger|negated|10
est gele|backward|trigger|negated|10
est gelee|backward|trigger|negated|10
est absent|backward|trigger|negated|10
est absente|backward|trigger|negated|10
est en defaut|backward|trigger|negated|10
est en defaute|backward|trigger|negated|10
est denue|backward|trigger|negated|10
est denuee|backward|trigger|negated|10
est depourvu|backward|trigger|negated|10
est depourvue|backward|trigger|negated|10
est disparu|backward|trigger|negated|10
est disparue|backward|trigger|negated|10
etait exclu|backward|trigger|negated|10
etait exclue|backward|trigger|negated|10
etait refuse|backward|trigger|negated|10
etait refusee|backward|trigger|negated|10
etait repousse|backward|trigger|negated|10
etait repoussee|backward|trigger|negated|10
etait rejete|backward|trigger|negated|10
etait rejetee|backward|trigger|negated|10
etait elimine|backward|trigger|negated|10
etait eliminee|backward|trigger|negated|10
etait proscrit|backward|trigger|negated|10
etait proscrite|backward|trigger|negated|10
etait ecarte|backward|trigger|negated|10
etait ecartee|backward|trigger|negated|10
etait evince|backward|trigger|negated|10
etait evincee|backward|trigger|negated|10
etait supprime|backward|trigger|negated|10
etait supprimee|backward|trigger|negated|10
etait eloigne|backward|trigger|negated|10
etait eloignee|backward|trigger|negated|10
etait enleve|backward|trigger|negated|10
etait enlevee|backward|trigger|negated|10
etait arrete|backward|trigger|negated|10
etait arretee|backward|trigger|negated|10
etait stoppe|backward|trigger|negated|10
etait stoppee|backward|trigger|negated|10
etait enraye|backward|trigger|negated|10
etait enrayee|backward|trigger|negated|10
etait contenu|backward|trigger|negated|10
etait contenue|backward|trigger|negated|10
etait suspendu|backward|trigger|negated|10
etait suspendue|backward|trigger|negated|10
etait jugule|backward|trigger|negated|10
etait jugulee|backward|trigger|negated|10
etait termine|backward|trigger|negated|10
etait terminee|backward|trigger|negated|10
etait fini|backward|trigger|negated|10
etait finie|backward|trigger|negated|10
etait endigue|backward|trigger|negated|10
etait endiguee|backward|trigger|negated|10
etait interrompu|backward|trigger|negated|10
etait interrompue|backward|trigger|negated|10
etait gele|backward|trigger|negated|10
etait gelee|backward|trigger|negated|10
etait absent|backward|trigger|negated|10
etait absente|backward|trigger|negated|10
etait en defaut|backward|trigger|negated|10
etait en defaute|backward|trigger|negated|10
etait denue|backward|trigger|negated|10
etait denuee|backward|trigger|negated|10
etait depourvu|backward|trigger|negated|10
etait depourvue|backward|trigger|negated|10
etait disparu|backward|trigger|negated|10
etait disparue|backward|trigger|negated|10
sont exclus|backward|trigger|negated|10
sont exclues|backward|trigger|negated|10
sont refuses|backward|trigger|negated|10
sont refusees|backward|trigger|negated|10
sont repousses|backward|trigger|negated|10
sont repoussees|backward|trigger|negated|10
sont rejetes|backward|trigger|negated|10
sont rejetees|backward|trigger|negated|10
sont elimines|backward|trigger|negated|10
sont eliminees|backward|trigger|negated|10
sont proscrits|backward|trigger|negated|10
sont proscrites|backward|trigger|negated|10
sont ecartes|backward|trigger|negated|10
sont ecartees|backward|trigger|negated|10
sont evinces|backward|trigger|negated|10
sont evincees|backward|trigger|negated|10
sont supprimes|backward|trigger|negated|10
sont supprimees|backward|trigger|negated|10
sont eloignes|backward|trigger|negated|10
sont eloignees|backward|trigger|negated|10
sont enleves|backward|trigger|negated|10
sont enlevees|backward|trigger|negated|10
sont arretes|backward|trigger|negated|10
sont arretees|backward|trigger|negated|10
sont stoppes|backward|trigger|negated|10
sont stoppees|backward|trigger|negated|10
sont enrayes|backward|trigger|negated|10
sont enrayees|backward|trigger|negated|10
sont contenus|backward|trigger|negated|10
sont contenues|backward|trigger|negated|10
sont suspendus|backward|trigger|negated|10
sont suspendues|backward|trigger|negated|10
sont jugules|backward|trigger|negated|10
sont jugulees|backward|trigger|negated|10
sont termines|backward|trigger|negated|10
sont terminees|backward|trigger|negated|10
sont finis|backward|trigger|negated|10
sont finies|backward|trigger|negated|10
sont endigues|backward|trigger|negated|10
sont endiguees|backward|trigger|negated|10
sont interrompus|backward|trigger|negated|10
sont interrompues|backward|trigger|negated|10
sont geles|backward|trigger|negated|10
sont gelees|backward|trigger|negated|10
sont absents|backward|trigger|negated|10
sont absentes|backward|trigger|negated|10
sont en defauts|backward|trigger|negated|10
sont en defautes|backward|trigger|negated|10
sont denues|backward|trigger|negated|10
sont denuees|backward|trigger|negated|10
sont depourvus|backward|trigger|negated|10
sont depourvues|backward|trigger|negated|10
sont disparus|backward|trigger|negated|10
sont disparues|backward|trigger|negated|10
etaient exclus|backward|trigger|negated|10
etaient exclues|backward|trigger|negated|10
etaient refuses|backward|trigger|negated|10
etaient refusees|backward|trigger|negated|10
etaient repousses|backward|trigger|negated|10
etaient repoussees|backward|trigger|negated|10
etaient rejetes|backward|trigger|negated|10
etaient rejetees|backward|trigger|negated|10
etaient elimines|backward|trigger|negated|10
etaient eliminees|backward|trigger|negated|10
etaient proscrits|backward|trigger|negated|10
etaient proscrites|backward|trigger|negated|10
etaient ecartes|backward|trigger|negated|10
etaient ecartees|backward|trigger|negated|10
etaient evinces|backward|trigger|negated|10
etaient evincees|backward|trigger|negated|10
etaient supprimes|backward|trigger|negated|10
etaient supprimees|backward|trigger|negated|10
etaient eloignes|backward|trigger|negated|10
etaient eloignees|backward|trigger|negated|10
etaient enleves|backward|trigger|negated|10
etaient enlevees|backward|trigger|negated|10
etaient arretes|backward|trigger|negated|10
etaient arretees|backward|trigger|negated|10
etaient stoppes|backward|trigger|negated|10
etaient stoppees|backward|trigger|negated|10
etaient enrayes|backward|trigger|negated|10
etaient enrayees|backward|trigger|negated|10
etaient contenus|backward|trigger|negated|10
etaient contenues|backward|trigger|negated|10
etaient suspendus|backward|trigger|negated|10
etaient suspendues|backward|trigger|negated|10
etaient jugules|backward|trigger|negated|10
etaient jugulees|backward|trigger|negated|10
etaient termines|backward|trigger|negated|10
etaient terminees|backward|trigger|negated|10
etaient finis|backward|trigger|negated|10
etaient finies|backward|trigger|negated|10
etaient endigues|backward|trigger|negated|10
etaient endiguees|backward|trigger|negated|10
etaient interrompus|backward|trigger|negated|10
etaient interrompues|backward|trigger|negated|10
etaient geles|backward|trigger|negated|10
etaient gelees|backward|trigger|negated|10
etaient absents|backward|trigger|negated|10
etaient absentes|backward|trigger|negated|10
etaient en defauts|backward|trigger|negated|10
etaient en defautes|backward|trigger|negated|10
etaient denues|backward|trigger|negated|10
etaient denuees|backward|trigger|negated|10
etaient depourvus|backward|trigger|negated|10
etaient depourvues|backward|trigger|negated|10
etaient disparus|backward|trigger|negated|10
etaient disparues|backward|trigger|negated|10
a arrete|backward|trigger|negated|10
a stoppe|backward|trigger|negated|10
a termine|backward|trigger|negated|10
a fini|backward|trigger|negated|10
a cesse|backward|trigger|negated|10
a pris fin|backward|trigger|negated|10
a gele|backward|trigger|negated|10
a disparu|backward|trigger|negated|10
a fait defaut|backward|trigger|negated|10
ont arrete|backward|trigger|negated|10
ont stoppe|backward|trigger|negated|10
ont termine|backward|trigger|negated|10
ont fini|backward|trigger|negated|10
ont cesse|backward|trigger|negated|10
ont pris fin|backward|trigger|negated|10
ont gele|backward|trigger|negated|10
ont disparu|backward|trigger|negated|10
ont fait defaut|backward|trigger|negated|10
ait arrete|backward|trigger|negated|10
ait stoppe|backward|trigger|negated|10
ait termine|backward|trigger|negated|10
ait fini|backward|trigger|negated|10
ait cesse|backward|trigger|negated|10
ait pris fin|backward|trigger|negated|10
ait gele|backward|trigger|negated|10
ait disparu|backward|trigger|negated|10
ait fait defaut|backward|trigger|negated|10
aient arrete|backward|trigger|negated|10
aient stoppe|backward|trigger|negated|10
aient termine|backward|trigger|negated|10
aient fini|backward|trigger|negated|10
aient cesse|backward|trigger|negated|10
aient pris fin|backward|trigger|negated|10
aient gele|backward|trigger|negated|10
aient disparu|backward|trigger|negated|10
aient fait defaut|backward|trigger|negated|10
avait arrete|backward|trigger|negated|10
avait stoppe|backward|trigger|negated|10
avait termine|backward|trigger|negated|10
avait fini|backward|trigger|negated|10
avait cesse|backward|trigger|negated|10
avait pris fin|backward|trigger|negated|10
avait gele|backward|trigger|negated|10
avait disparu|backward|trigger|negated|10
avait fait defaut|backward|trigger|negated|10
avaient arrete|backward|trigger|negated|10
avaient stoppe|backward|trigger|negated|10
avaient termine|backward|trigger|negated|10
avaient fini|backward|trigger|negated|10
avaient cesse|backward|trigger|negated|10
avaient pris fin|backward|trigger|negated|10
avaient gele|backward|trigger|negated|10
avaient disparu|backward|trigger|negated|10
avaient fait defaut|backward|trigger|negated|10
est a exclure|forward|trigger|uncertain|30
est a eliminer|forward|trigger|uncertain|30
est a rejeter|forward|trigger|uncertain|30
est a proscrire|forward|trigger|uncertain|30
est a eloigner|forward|trigger|uncertain|30
est a supprimer|forward|trigger|uncertain|30
est a radier|forward|trigger|uncertain|30
insuffisance de|forward|trigger|negated|10
defaut de|forward|trigger|negated|10
deficience de|forward|trigger|negated|10
penurie de|forward|trigger|negated|10
carence de|forward|trigger|negated|10
privation de|forward|trigger|negated|10
lacune de|forward|trigger|negated|10
omission de|forward|trigger|negated|10
manquement de|forward|trigger|negated|10
defaillance de|forward|trigger|negated|10
rarete de|forward|trigger|negated|10
oubli de|forward|trigger|negated|10
faute de|forward|trigger|negated|10
faiblesse de|forward|trigger|negated|10
manquait|forward|trigger|negated|10
oubliait|forward|trigger|negated|10
ratait|forward|trigger|negated|10
omettait|forward|trigger|negated|10
il y a \> 0 annee|backward|trigger|historical|30
il y a \> 0 annees|backward|trigger|historical|30
il y a \> 0 an|backward|trigger|historical|30
il y a \> 0 ans|backward|trigger|historical|30
il y a \> 1 semaines|backward|trigger|historical|30
il y a \> 13 jours|backward|trigger|historical|30
au printemps dernier|backward|trigger|historical|30
le printemps dernier|backward|trigger|historical|30
l'ete dernier|backward|trigger|historical|30
l'automne dernier|backward|trigger|historical|30
l'hiver dernier|backward|trigger|historical|30
janvier dernier|backward|trigger|historical|30
fevrier dernier|backward|trigger|historical|30
mars dernier|backward|trigger|historical|30
avril dernier|backward|trigger|historical|30
mai dernier|backward|trigger|historical|30
juin dernier|backward|trigger|historical|30
juillet dernier|backward|trigger|historical|30
août dernier|backward|trigger|historical|30
septembre dernier|backward|trigger|historical|30
octobre dernier|backward|trigger|historical|30
novembre dernier|backward|trigger|historical|30
decembre dernier|backward|trigger|historical|30
en janvier|backward|trigger|historical|2
en fevrier|backward|trigger|historical|2
en avril|backward|trigger|historical|2
en mai|backward|trigger|historical|2
en juin|backward|trigger|historical|2
en juillet|backward|trigger|historical|2
en août|backward|trigger|historical|30
en septembre|backward|trigger|historical|2
en octobre|backward|trigger|historical|2
en novembre|backward|trigger|historical|2
en decembre|backward|trigger|historical|2
contributeurs probables a|forward|termination|negated|10
contributeur probable a|forward|termination|negated|10
probablement en cas de|forward|termination|negated|10
probablement en situation de|forward|termination|negated|10
probablement|forward|termination|negated|10
element probable de|forward|termination|negated|10
ingredient probable de|forward|termination|negated|10
constituant probable de|forward|termination|negated|10
facteur probable de|forward|termination|negated|10
probablement|both|pseudo|uncertain|30
eventuellement|both|pseudo|uncertain|30
plausiblement|both|pseudo|uncertain|30
possiblement|both|pseudo|uncertain|30
sans doute|both|pseudo|uncertain|30
sûrement|both|pseudo|uncertain|30
probable|forward|trigger|uncertain|30
probables|forward|trigger|uncertain|30
eventuel|forward|trigger|uncertain|30
eventuels|forward|trigger|uncertain|30
plausible|forward|trigger|uncertain|30
plausibles|forward|trigger|uncertain|30
possible|forward|trigger|uncertain|30
possibles|forward|trigger|uncertain|30
chercher|forward|trigger|conditional|30
scruter|forward|trigger|conditional|30
sonder|forward|trigger|conditional|30
essayer|forward|trigger|conditional|30
explorer|forward|trigger|conditional|30
rechercher|forward|trigger|conditional|30
examiner|forward|trigger|conditional|30
fouiller|forward|trigger|conditional|30
peut etre \w+ sous-estime|both|pseudo|uncertain|30
peut etre \w+ minimise|both|pseudo|uncertain|30
peut etre \w+ minore|both|pseudo|uncertain|30
peut etre \w+ mesestime|both|pseudo|uncertain|30
peut etre \w+ sous-evalue|both|pseudo|uncertain|30
peut contribuer|both|pseudo|uncertain|30
peut collaborer|both|pseudo|uncertain|30
peut concourir|both|pseudo|uncertain|30
peut participer|both|pseudo|uncertain|30
peut favoriser|both|pseudo|uncertain|30
peut prendre part|both|pseudo|uncertain|30
peut-etre dû|forward|trigger|uncertain|30
pourrait demasquer|both|pseudo|uncertain|30
pourrait reveler|both|pseudo|uncertain|30
pourrait devoiler|both|pseudo|uncertain|30
pourrait deceler|both|pseudo|uncertain|30
pourrait detecter|both|pseudo|uncertain|30
peut etre lie|both|pseudo|uncertain|30
peut etre connexe|both|pseudo|uncertain|30
peut etre relie|both|pseudo|uncertain|30
peut etre imbrique|both|pseudo|uncertain|30
peut etre conjoint|both|pseudo|uncertain|30
peut etre attache|both|pseudo|uncertain|30
peut etre inherent|both|pseudo|uncertain|30
peut etre rattache|both|pseudo|uncertain|30
peut etre coordonne|both|pseudo|uncertain|30
peut etre adjoint|both|pseudo|uncertain|30
peut etre assujetti|both|pseudo|uncertain|30
peut etre sous-estime|both|pseudo|uncertain|30
peut etre minimise|both|pseudo|uncertain|30
peut etre minore|both|pseudo|uncertain|30
peut etre mesestime|both|pseudo|uncertain|30
peut etre deconsidere|both|pseudo|uncertain|30
peut etre meprise|both|pseudo|uncertain|30
peut etre decrie|both|pseudo|uncertain|30
peut etre devalue|both|pseudo|uncertain|30
peut etre decredite|both|pseudo|uncertain|30
peut etre discredite|both|pseudo|uncertain|30
peut etre deprecie|both|pseudo|uncertain|30
peut etre mejuge|both|pseudo|uncertain|30
peut etre devalorise|both|pseudo|uncertain|30
peut etre sous-evalue|both|pseudo|uncertain|30
peut-etre|forward|trigger|uncertain|30
peut etre|forward|trigger|uncertain|30
peut-etre|forward|trigger|uncertain|30
peut etre|forward|trigger|uncertain|30
peut representer|forward|trigger|uncertain|30
peut symboliser|forward|trigger|uncertain|30
peut decrire|forward|trigger|uncertain|30
peut montrer|forward|trigger|uncertain|30
peut depeindre|forward|trigger|uncertain|30
peut figurer|forward|trigger|uncertain|30
peut exposer|forward|trigger|uncertain|30
peut signifier|forward|trigger|uncertain|30
peut exhiber|forward|trigger|uncertain|30
peut evoquer|forward|trigger|uncertain|30
peut designer|forward|trigger|uncertain|30
peut avoir|forward|trigger|uncertain|30
pourrait avoir|forward|trigger|uncertain|30
leger|forward|termination|negated|10
legers|forward|termination|negated|10
legerement|forward|termination|negated|10
doux|forward|termination|negated|10
douce|forward|termination|negated|10
douces|forward|termination|negated|10
surveiller le \w+ pour|forward|trigger|conditional|30
examiner le \w+ pour|forward|trigger|conditional|30
suivre le \w+ pour|forward|trigger|conditional|30
avoir a l'oeil le \w+ pour|forward|trigger|conditional|30
etre a l'affût du \w+ pour|forward|trigger|conditional|30
faire attention au \w+ pour|forward|trigger|conditional|30
doit etre exclu pour|both|trigger|uncertain|30
doit etre repousse pour|both|trigger|uncertain|30
doit etre rejete pour|both|trigger|uncertain|30
doit etre elimine pour|both|trigger|uncertain|30
doit etre proscrit pour|both|trigger|uncertain|30
neg dans|forward|trigger|negated|10
neg pour|forward|trigger|negated|10
neg par|forward|trigger|negated|10
neg dans|forward|trigger|negated|10
neg pour|forward|trigger|negated|10
neg par|forward|trigger|negated|10
neg. dans|forward|trigger|negated|10
neg. pour|forward|trigger|negated|10
neg. par|forward|trigger|negated|10
negatifs dans|forward|trigger|negated|10
negatifs pour|forward|trigger|negated|10
negatifs par|forward|trigger|negated|10
negatives dans|forward|trigger|negated|10
negatives pour|forward|trigger|negated|10
negatives par|forward|trigger|negated|10
nuls dans|forward|trigger|negated|10
nuls pour|forward|trigger|negated|10
nuls par|forward|trigger|negated|10
nulles dans|forward|trigger|negated|10
nulles pour|forward|trigger|negated|10
nulles par|forward|trigger|negated|10
neg|backward|trigger|negated|10
neg|backward|trigger|negated|10
neg.|backward|trigger|negated|10
negatifs|backward|trigger|negated|10
negatives|backward|trigger|negated|10
nuls|backward|trigger|negated|10
nulles|backward|trigger|negated|10
jamais aucun|forward|trigger|negated|10
jamais aucune|forward|trigger|negated|10
jamais nul|forward|trigger|negated|10
jamais nulle|forward|trigger|negated|10
jamais developpe|forward|trigger|negated|10
jamais manifeste|forward|trigger|negated|10
jamais revele|forward|trigger|negated|10
jamais eu|forward|trigger|negated|10
non \w+ evident d'|forward|trigger|negated|10
non \w+ evident de|forward|trigger|negated|10
non \w+ evident d'un|forward|trigger|negated|10
non \w+ evident d'une|forward|trigger|negated|10
non \w+ evident dans|forward|trigger|negated|10
non \w+ evident pour|forward|trigger|negated|10
non \w+ evident par|forward|trigger|negated|10
non \w+ clair d'|forward|trigger|negated|10
non \w+ clair de|forward|trigger|negated|10
non \w+ clair d'un|forward|trigger|negated|10
non \w+ clair d'une|forward|trigger|negated|10
non \w+ clair dans|forward|trigger|negated|10
non \w+ clair pour|forward|trigger|negated|10
non \w+ clair par|forward|trigger|negated|10
non \w+ indiscutable d'|forward|trigger|negated|10
non \w+ indiscutable de|forward|trigger|negated|10
non \w+ indiscutable d'un|forward|trigger|negated|10
non \w+ indiscutable d'une|forward|trigger|negated|10
non \w+ indiscutable dans|forward|trigger|negated|10
non \w+ indiscutable pour|forward|trigger|negated|10
non \w+ indiscutable par|forward|trigger|negated|10
non \w+ notoire d'|forward|trigger|negated|10
non \w+ notoire de|forward|trigger|negated|10
non \w+ notoire d'un|forward|trigger|negated|10
non \w+ notoire d'une|forward|trigger|negated|10
non \w+ notoire dans|forward|trigger|negated|10
non \w+ notoire pour|forward|trigger|negated|10
non \w+ notoire par|forward|trigger|negated|10
non \w+ patent d'|forward|trigger|negated|10
non \w+ patent de|forward|trigger|negated|10
non \w+ patent d'un|forward|trigger|negated|10
non \w+ patent d'une|forward|trigger|negated|10
non \w+ patent dans|forward|trigger|negated|10
non \w+ patent pour|forward|trigger|negated|10
non \w+ patent par|forward|trigger|negated|10
non \w+ certain d'|forward|trigger|negated|10
non \w+ certain de|forward|trigger|negated|10
non \w+ certain d'un|forward|trigger|negated|10
non \w+ certain d'une|forward|trigger|negated|10
non \w+ certain dans|forward|trigger|negated|10
non \w+ certain pour|forward|trigger|negated|10
non \w+ certain par|forward|trigger|negated|10
non \w+ indeniable d'|forward|trigger|negated|10
non \w+ indeniable de|forward|trigger|negated|10
non \w+ indeniable d'un|forward|trigger|negated|10
non \w+ indeniable d'une|forward|trigger|negated|10
non \w+ indeniable dans|forward|trigger|negated|10
non \w+ indeniable pour|forward|trigger|negated|10
non \w+ indeniable par|forward|trigger|negated|10
non \w+ flagrant d'|forward|trigger|negated|10
non \w+ flagrant de|forward|trigger|negated|10
non \w+ flagrant d'un|forward|trigger|negated|10
non \w+ flagrant d'une|forward|trigger|negated|10
non \w+ flagrant dans|forward|trigger|negated|10
non \w+ flagrant pour|forward|trigger|negated|10
non \w+ flagrant par|forward|trigger|negated|10
non \w+ incontestable d'|forward|trigger|negated|10
non \w+ incontestable de|forward|trigger|negated|10
non \w+ incontestable d'un|forward|trigger|negated|10
non \w+ incontestable d'une|forward|trigger|negated|10
non \w+ incontestable dans|forward|trigger|negated|10
non \w+ incontestable pour|forward|trigger|negated|10
non \w+ incontestable par|forward|trigger|negated|10
non \w+ sûr d'|forward|trigger|negated|10
non \w+ sûr de|forward|trigger|negated|10
non \w+ sûr d'un|forward|trigger|negated|10
non \w+ sûr d'une|forward|trigger|negated|10
non \w+ sûr dans|forward|trigger|negated|10
non \w+ sûr pour|forward|trigger|negated|10
non \w+ sûr par|forward|trigger|negated|10
non \w+ assure d'|forward|trigger|negated|10
non \w+ assure de|forward|trigger|negated|10
non \w+ assure d'un|forward|trigger|negated|10
non \w+ assure d'une|forward|trigger|negated|10
non \w+ assure dans|forward|trigger|negated|10
non \w+ assure pour|forward|trigger|negated|10
non \w+ assure par|forward|trigger|negated|10
aucun \w+ temoignage d'|forward|trigger|negated|10
aucun \w+ temoignage de|forward|trigger|negated|10
aucun \w+ temoignage d'un|forward|trigger|negated|10
aucun \w+ temoignage d'une|forward|trigger|negated|10
aucun \w+ temoignage dans|forward|trigger|negated|10
aucun \w+ temoignage pour|forward|trigger|negated|10
aucun \w+ temoignage par|forward|trigger|negated|10
